:nominal
recnum, 1, 0, r
z1, 15, 1, z1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
n1, 15, 1, n1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
w1, 15, 1, w1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
e1, 15, 1, e1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
s1, 15, 1, s1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
z2, 15, 1, z2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
n2, 15, 1, n2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
w2, 15, 1, w2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
e2, 15, 1, e2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
s2, 15, 1, s2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
z3, 15, 0, z3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
n3, 15, 0, n3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
w3, 15, 0, w3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
e3, 15, 0, e3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
s3, 15, 0, s3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
F, 2, 2, F                                     

:data
20545041	52	52	52	42	52	52	52	52	52	52	42	42	42	42	42	1
9939004	43	42	42	42	43	43	42	42	42	43	43	42	42	42	43	0
18713494	42	42	42	42	42	71	71	42	71	71	42	42	42	42	42	1
11881742	52	43	42	52	52	52	43	42	52	52	42	43	42	42	42	1
12279375	42	43	43	42	43	42	43	43	42	43	42	43	43	42	43	1
15907961	71	71	71	71	71	52	52	52	52	52	42	42	42	42	42	1
12011865	21	21	21	42	42	21	21	21	42	42	21	21	21	42	42	0
13640648	71	71	71	71	71	52	52	52	52	52	42	42	42	42	42	1
4478803	52	52	52	42	52	52	52	52	52	52	52	52	52	52	52	0
3742193	42	42	42	42	43	42	42	42	42	43	42	42	42	42	43	1
21097970	42	42	42	42	42	42	42	42	42	42	71	71	42	71	71	0
7480145	52	52	43	52	52	42	43	43	43	42	42	43	43	43	42	1
7474580	42	42	42	42	42	52	52	52	52	52	43	43	42	43	43	0
15674925	42	42	42	42	42	52	52	52	42	52	52	52	52	42	52	0
11669181	42	42	42	42	42	42	42	42	42	42	52	52	52	52	52	0
18682898	42	42	42	42	42	52	52	52	52	52	42	42	42	42	42	1
16186861	42	42	42	42	42	42	42	42	42	42	71	71	71	71	71	0
9785933	43	43	42	42	43	43	43	42	42	43	43	43	42	42	43	0
20862053	42	42	42	42	42	42	42	42	42	42	71	71	71	71	71	0
8961021	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
17911202	52	42	42	52	52	71	71	71	52	71	52	52	52	52	52	0
11860228	42	42	42	42	42	42	42	42	42	42	71	71	71	71	71	0
2592286	71	71	71	71	71	52	52	52	52	52	42	42	42	42	42	1
18226428	42	42	42	42	21	42	42	22	42	22	42	42	22	42	22	1
2183797	43	42	42	43	42	71	71	71	71	71	42	42	42	42	42	1
16921834	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
3982781	42	52	81	52	42	81	52	81	42	81	81	52	81	42	81	0
803310	42	42	42	43	42	42	42	42	43	42	42	42	42	43	42	1
20559134	42	42	42	42	42	71	71	71	71	71	42	42	42	52	52	1
9501996	42	42	42	42	42	42	42	42	42	42	42	42	42	52	42	1
19053557	42	42	43	42	42	42	42	43	42	42	42	42	43	42	42	1
1803785	52	52	52	52	52	52	52	52	52	52	52	52	52	42	52	0
1794227	42	81	81	52	42	81	81	42	42	42	81	81	42	42	42	0
2661469	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
18996194	42	42	42	42	42	71	71	71	42	71	42	42	42	42	42	1
8126752	42	42	42	42	42	42	42	42	42	42	42	42	42	42	52	1
17016808	52	52	52	52	52	52	52	52	52	52	42	43	42	42	42	1
18278578	52	52	52	52	42	52	52	52	52	42	52	52	52	52	42	0
20236419	81	42	42	81	42	42	42	42	52	42	42	42	42	52	42	1
11217323	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
4243449	42	42	42	42	42	42	42	52	42	42	42	42	42	42	42	1
15494010	42	42	42	81	42	42	71	42	71	42	42	52	42	52	42	1
11094359	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
11803193	42	42	42	42	42	42	42	42	42	42	42	42	71	42	42	1
18351348	42	42	42	42	42	52	52	52	52	52	42	42	42	42	42	1
11979418	42	43	42	43	43	42	43	42	43	43	42	43	42	43	43	1
16803583	42	42	42	71	42	42	42	42	52	42	42	42	42	42	42	1
4113819	42	52	42	42	42	42	52	42	42	42	42	52	42	42	42	1
11726329	42	42	42	42	52	42	42	42	42	42	42	42	42	42	42	1
21997334	42	52	42	42	52	42	52	42	42	42	42	42	42	42	42	1
16945976	42	42	42	42	21	42	42	42	42	21	42	42	42	42	21	1
16567745	52	52	52	52	52	52	52	42	52	52	52	52	42	52	52	0
6789461	42	42	42	42	42	52	42	52	52	52	52	71	52	52	52	0
21545428	71	71	71	71	71	52	52	52	52	52	42	42	42	42	42	1
3912351	42	42	42	42	42	42	42	52	42	42	42	42	52	42	42	1
16616041	52	52	52	52	52	52	52	52	52	52	42	43	42	42	42	1
17909795	52	52	52	52	52	52	52	52	52	52	43	43	42	42	43	0
18522227	43	42	43	43	43	43	43	42	43	42	43	43	42	43	42	0
16928146	42	42	42	42	42	42	42	42	52	52	42	42	42	42	52	1
2281147	42	43	42	42	42	42	43	42	42	42	42	43	42	42	42	1
20327813	42	42	42	52	52	42	52	42	42	42	42	52	42	42	42	1
7184115	42	43	42	42	42	42	43	42	42	42	42	43	42	42	42	1
13537170	43	43	43	43	42	43	43	42	43	42	43	43	42	43	42	0
18751035	42	42	42	42	42	52	52	52	52	42	52	43	52	52	42	0
17098073	42	81	81	42	42	42	81	81	42	42	42	81	81	42	42	1
2278372	42	42	42	43	42	42	42	42	43	42	42	42	42	43	42	1
18053548	42	42	11	81	42	42	42	71	42	42	42	42	71	42	42	1
3631324	81	81	81	42	42	81	81	81	81	81	81	81	81	81	81	0
