Option settings:
Data file	dementia05.txt
Starting model	bottom
Search direction	up
Ref model	bottom
Models to consider	full
Search width	3
Search levels	7
Search sort by	bic
Search preference	descending
Report sort by	information
Report preference	descending

Sample Size	424.0

ID	MODEL	Level	H	dDF	dLR	Alpha	Inf	%dH(DV)	dAIC	dBIC	Inc.Alpha	Prog.	%C(Data)	%cover
233	IV:AZ:BZ:EZ:HZ:PZ	5	9.7005	12	-1.0	0.2231	0.02611774	2.6118	1.0	1.0	0.0	0	0.0	0.0
232	IV:AgZ:AZ:NZ	3	9.7002	7	-1.0	0.03	0.02641764	2.6418	1.0	1.0	0.0	0	0.0	0.0
231	IV:KZ:PZ	2	9.7001	6	-1.0	0.0163	0.02651236	2.6512	1.0	1.0	0.0	0	0.0	0.0
230	IV:EZ:GZ:JZ:PZ	4	9.6999	10	-1.0	0.1082	0.02673869	2.6739	1.0	1.0	0.0	0	0.0	0.0
229	IV:CZ	1	9.6998	2	-1.0	0.0004	0.02687026	2.687	1.0	1.0	0.0	0	0.0	0.0
228	IV:AZ:EZ:FZ:HZ:PZ	5	9.6997	11	-1.0	0.1466	0.02698083	2.6981	1.0	1.0	0.0	0	0.0	0.0
227	IV:EZ:GZ:HPZ	5	9.6993	15	-1.0	0.3792	0.02732308	2.7323	1.0	1.0	0.0	0	0.0	0.0
226	IV:AZ:EPZ:HZ	5	9.6992	15	-1.0	0.3721	0.02750551	2.7506	1.0	1.0	0.0	0	0.0	0.0
225	IV:EZ:GZ:HZ:LZ:PZ	5	9.6991	11	-1.0	0.1332	0.027604	2.7604	1.0	1.0	0.0	0	0.0	0.0
224	IV:AgZ:DZ:NZ	3	9.699	7	-1.0	0.0229	0.02769041	2.769	1.0	1.0	0.0	0	0.0	0.0
223	IV:AZ:EZ:HZ:NZ:PZ	5	9.6988	12	-1.0	0.1756	0.02783126	2.7831	1.0	1.0	0.0	0	0.0	0.0
222	IV:EdZ:FZ	2	9.6988	4	-1.0	0.0026	0.02785609	2.7856	1.0	1.0	0.0	0	0.0	0.0
221	IV:AZ:DZ:EZ:HZ:PZ	5	9.6985	11	-1.0	0.1223	0.02814457	2.8145	1.0	1.0	0.0	0	0.0	0.0
220	IV:EZ:GZ:JZ:MZ:PZ	5	9.6983	12	-1.0	0.1617	0.02840325	2.8403	1.0	1.0	0.0	0	0.0	0.0
219	IV:EdZ:PZ	2	9.6981	5	-1.0	0.005	0.02859225	2.8592	1.0	1.0	0.0	0	0.0	0.0
218	IV:APZ:EZ:HZ	5	9.6981	15	-1.0	0.3312	0.02860059	2.8601	1.0	1.0	0.0	0	0.0	0.0
217	IV:AgZ:EZ:GZ:HZ:PZ	5	9.6978	11	-1.0	0.1093	0.02884999	2.885	1.0	1.0	0.0	0	0.0	0.0
216	IV:AgZ:EZ:NZ	3	9.6976	7	-1.0	0.0172	0.02902325	2.9023	1.0	1.0	0.0	0	0.0	0.0
215	IV:EZ:GZ:HZ:JZ:PZ	5	9.6976	12	-1.0	0.1476	0.02902333	2.9023	1.0	1.0	0.0	0	0.0	0.0
214	IV:CZ:PZ	2	9.6975	5	-1.0	0.0043	0.02919323	2.9193	1.0	1.0	0.0	0	0.0	0.0
213	IV:AZ:EZ:HPZ	5	9.6974	15	-1.0	0.3094	0.02921829	2.9218	1.0	1.0	0.0	0	0.0	0.0
212	IV:AZ:EZ:HZ:JZ:PZ	5	9.6971	12	-1.0	0.1359	0.02958122	2.9581	1.0	1.0	0.0	0	0.0	0.0
211	IV:FZ:KZ	2	9.6966	5	-1.0	0.0034	0.03006922	3.0069	1.0	1.0	0.0	0	0.0	0.0
210	IV:AZ:GPZ	4	9.6965	13	-1.0	0.169	0.03013847	3.0138	1.0	1.0	0.0	0	0.0	0.0
209	IV:AZ:EZ:HZ:LZ:PZ	5	9.6964	11	-1.0	0.0873	0.03023462	3.0235	1.0	1.0	0.0	0	0.0	0.0
208	IV:AgZ:LZ:NZ	3	9.6964	7	-1.0	0.013	0.03028513	3.0285	1.0	1.0	0.0	0	0.0	0.0
207	IV:GZ:KZ:PZ	3	9.6963	8	-1.0	0.0228	0.03032424	3.0324	1.0	1.0	0.0	0	0.0	0.0
206	IV:EZ:GZ:HZ:JZ:MZ:PZ	6	9.6963	14	-1.0	0.2144	0.03036128	3.0361	1.0	1.0	0.0	0	0.0	0.0
205	IV:AgZ:AZ:EZ:HZ:PZ	5	9.6963	11	-1.0	0.0854	0.03036669	3.0367	1.0	1.0	0.0	0	0.0	0.0
204	IV:EdZ:GZ:PZ	3	9.6959	7	-1.0	0.0116	0.03080346	3.0803	1.0	1.0	0.0	0	0.0	0.0
203	IV:SxZ:EZ:GZ:JZ:PZ	5	9.6956	11	-1.0	0.0764	0.03103868	3.1039	1.0	1.0	0.0	0	0.0	0.0
202	IV:CZ:FZ	2	9.6955	4	-1.0	0.0011	0.03119542	3.1195	1.0	1.0	0.0	0	0.0	0.0
201	IV:CZ:GZ:PZ	3	9.6951	7	-1.0	0.0098	0.03156768	3.1568	1.0	1.0	0.0	0	0.0	0.0
200	IV:EZ:KZ:PZ	3	9.6943	8	-1.0	0.0149	0.03236635	3.2366	1.0	1.0	0.0	0	0.0	0.0
199	IV:AEZ:HZ:PZ	5	9.6943	13	-1.0	0.1226	0.03237153	3.2372	1.0	1.0	0.0	0	0.0	0.0
198	IV:KZ:NZ	2	9.6941	6	-1.0	0.004	0.03254266	3.2543	1.0	1.0	0.0	0	0.0	0.0
197	IV:EZ:HZ:KZ:PZ	4	9.6941	10	-1.0	0.0386	0.03258501	3.2585	1.0	1.0	0.0	0	0.0	0.0
196	IV:AZ:EZ:GZ:JZ:PZ	5	9.694	12	-1.0	0.0847	0.03262575	3.2626	1.0	1.0	0.0	0	0.0	0.0
195	IV:EdZ:NZ	2	9.6939	5	-1.0	0.0018	0.03271347	3.2713	1.0	1.0	0.0	0	0.0	0.0
194	IV:AgZ:BZ:NZ	3	9.6938	8	-1.0	0.0135	0.03283031	3.283	1.0	1.0	0.0	0	0.0	0.0
193	IV:EZ:FZ:GZ:JZ:PZ	5	9.6932	12	-1.0	0.0744	0.03342262	3.3423	1.0	1.0	0.0	0	0.0	0.0
192	IV:SxZ:EZ:GZ:HZ:JZ:PZ	6	9.6932	13	-1.0	0.1036	0.03349355	3.3494	1.0	1.0	0.0	0	0.0	0.0
191	IV:BZ:EZ:GZ:JZ:PZ	5	9.693	13	-1.0	0.1007	0.03368218	3.3682	1.0	1.0	0.0	0	0.0	0.0
190	IV:EPZ:GZ:JZ	5	9.6928	16	-1.0	0.2256	0.03384884	3.3849	1.0	1.0	0.0	0	0.0	0.0
189	IV:EZ:GPZ	4	9.6928	13	-1.0	0.0977	0.03388413	3.3884	1.0	1.0	0.0	0	0.0	0.0
