iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"Cl=1|Dc=4|El=5|Ro=1|Tt=3",0,100.00,38,100.0,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"Dc=4|El=5|Ro=1|Tt=3",0,100.00,38,100.0,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"El=1|Tp=7",1,89.31,38,92.1,0.0000,"IV:ElZ:TpZ"
"El=5|Fd=3|Ro=1|Tp=15|Tt=3",0,86.47,37,97.3,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=1|El=5|Fd=1|Ro=1|Tt=3",0,89.55,37,100.0,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Cl=1|El=5|Fd=6|Ro=6|Tt=11",0,91.96,36,94.4,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Dc=7|El=2|Fd=5|Rd=1|Ro=6|Tt=15",1,86.03,35,97.1,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=1|Ro=1|Tt=3",0,89.06,34,100.0,0.0000,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"El=5|Fd=1|Ro=1|Tp=15|Tt=3",0,91.94,33,100.0,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=1|Dc=7|El=2|Fd=5|Rd=1|Ro=6|Tt=15",1,85.01,33,97.0,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=3|Dc=7|El=1|Rd=1|Ro=6|Tt=11",1,87.48,33,90.9,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=2|Ro=6|Sd=2|Tt=15",0,89.66,33,93.9,0.0000,"IV:ElZ:FdZ:SdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=2|Fd=5|Rd=1|Ro=6|Tt=15",1,85.09,33,97.0,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:RoZ:TtZ"
