elev_bin, 6,1,Elev
LARGE_FIRE, 2,2,Z
:no-frequency
:data
400512642	2019	1.00	B	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	midlow	0
400345628	2018	0.96	B	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Spring	mid	0
400511446	2019	150.00	D	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	5	Columbia_Plateau	B	Summer	low	1
400029966	2017	0.10	A	22	22	52	22	22	52	22	22	52	22	22	52	22	82	82	22	22	52	22	82	82	5	Columbia_Plateau	B	Summer	midlow	0
400041735	2016	99.35	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	low	1
400578335	2020	22.00	C	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	31	North_Central_California_Footh	B	Summer	midlow	1
400060984	2016	0.10	A	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	mid	0
400102981	2016	18.78	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	low	1
400380740	2018	55.00	C	52	52	71	52	71	71	52	71	71	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Fall	low	1
400389824	2018	23600.00	G	71	71	71	71	71	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	5	Columbia_Plateau	B	Summer	mid	1
300217428	2015	12.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Fall	midlow	1
400482004	2016	3400.00	F	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	low	1
400015985	2017	87.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Fall	mid	1
400512699	2019	0.30	B	81	81	95	81	81	95	81	81	95	81	81	95	81	81	95	81	81	95	81	81	95	5	Columbia_Plateau	B	Summer	low	0
400314145	2018	0.10	A	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	5	Columbia_Plateau	B	Summer	low	0
400581960	2020	1.00	B	71	71	71	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	midlow	0
400092028	2016	2.00	B	52	43	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	low	0
400511454	2019	35.40	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	mid	1
400029941	2017	15.00	C	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	1
400029931	2017	21.00	C	21	22	22	22	22	22	21	21	22	21	21	22	21	21	22	21	21	22	21	21	22	5	Columbia_Plateau	B	Summer	midlow	1
400500582	2019	0.10	A	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Summer	midhigh	0
400026530	2017	9357.00	G	22	71	71	22	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	low	1
400105115	2016	0.56	B	21	52	52	21	43	52	43	43	52	43	43	52	43	43	52	43	43	52	71	71	52	31	North_Central_California_Footh	B	Summer	low	0
300307334	2015	0.68	B	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	31	North_Central_California_Footh	B	Fall	low	0
300227478	2015	46.60	C	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	mid	1
