iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=1|Gl=1|Hb=2|Lc=1|Sl=2|Tc=1",1,96.00,15,100.0,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"El=2|Gl=2|Hb=2|Lc=2|Sl=2|Tc=3",0,93.79,15,93.3,0.0010,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"El=1|Hb=1|Lc=1|Sl=1|Tc=2|Tw=2",1,99.06,14,100.0,0.0000,"IV:ElTwZ:HbZ:LcZ:SlZ:TcZ"
"Hb=1|Lc=1|Sl=1|Tc=2|Tw=3",1,97.48,14,100.0,0.0000,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"Hb=2|Lc=1|Sl=2|Tc=2|Tw=1",1,90.47,14,92.9,0.0020,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"Cv=1|El=1|Hb=1|Lc=1|Sl=2|Tc=2",1,98.00,14,92.9,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|El=1|Hb=3|Lc=1|Sl=2|Tc=2",1,87.41,14,100.0,0.0040,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|El=1|Hb=1|Lc=1|Sl=2|Tc=1",1,98.76,14,92.9,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|El=2|Hb=3|Lc=3|Sl=2|Tc=3",0,97.56,14,100.0,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Hb=2|Lc=1|Sl=1|Tc=2",1,94.55,14,100.0,0.0010,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=2|Hb=3|Lc=3|Sl=2|Tc=3",0,97.06,14,100.0,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|Hb=2|Lc=1|Sl=2|Tc=2",1,91.19,14,100.0,0.0010,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=1|Lc=1|Sl=2|Tc=1",1,98.93,14,92.9,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
