name,level,h,information,aic,bic,daic,dbic,alpha,lr,df,pct_correct
IV:ApMZ,2,9.63406792420081,0.09267261084094304,44.40108641418014,24.152419138020353,-44.40108641418014,-24.152419138020353,0.0,54.40108641418014,725594117.0,66.98113207547169
IV:SxMZ,2,9.721519553180183,0.005107108692275417,-7.002002438757899,-27.250669714917688,7.002002438757899,27.250669714917688,0.7030299220487943,2.9979975612421006,725594117.0,54.00943396226414
IV:EdMZ,2,9.683431971161236,0.04324428559842963,9.385452038222912,-23.01241560363275,-9.385452038222912,23.01241560363275,0.001304395097336708,25.385452038222912,725594120.0,57.78301886792453
IV:AgMZ,2,9.709528477164229,0.017113798617829128,-5.953782147334557,-38.35164978919022,5.953782147334557,38.35164978919022,0.2609926675732439,10.046217852665443,725594120.0,57.0754716981132
IV:AMZ,2,9.70734170900459,0.019303414228381954,-4.668424294970096,-37.066291936825756,4.668424294970096,37.066291936825756,0.18270883763126378,11.331575705029904,725594120.0,57.31132075471699
IV:BMZ,2,9.70657808057077,0.020068037003770117,-10.219572047248977,-54.766640054800504,10.219572047248977,54.766640054800504,0.3801665897767206,11.780427952751023,725594123.0,54.24528301886794
IV:CMZ,2,9.68313605368867,0.043540588393267535,9.559389017018145,-22.838478624837517,-9.559389017018145,22.838478624837517,0.0012160552117214118,25.559389017018145,725594120.0,59.43396226415094
IV:DMZ,2,9.710497201790943,0.01614381258815731,-6.52318764203128,-38.92105528388694,6.52318764203128,38.92105528388694,0.3030574841047796,9.47681235796872,725594120.0,55.4245283018868
IV:EMZ,2,9.715034141074435,0.0116009656313479,-9.1899497805012,-41.58781742235686,9.1899497805012,41.58781742235686,0.558469161626721,6.8100502194988,725594120.0,55.42452830188679
IV:FMZ,2,9.713565167205353,0.013071852291673023,-8.326503379372511,-40.72437102122817,8.326503379372511,40.72437102122817,0.466528267746687,7.673496620627489,725594120.0,53.77358490566038
IV:GMZ,2,9.70919741924254,0.01744528761913451,-5.759190005797553,-38.15705764765322,5.759190005797553,38.15705764765322,0.24768465065993095,10.240809994202447,725594120.0,54.71698113207548
IV:HMZ,2,9.712380287584798,0.01425827477654231,-7.630044398262363,-40.027912040118025,7.630044398262363,40.027912040118025,0.39818950417302923,8.369955601737637,725594120.0,54.952830188679236
IV:JMZ,2,9.697848162542282,0.028809322498423773,-5.088223925614102,-49.63529193316563,5.088223925614102,49.63529193316563,0.11006230227125557,16.911776074385898,725594123.0,55.896226415094354
IV:KMZ,2,9.690596121539812,0.03607080658277176,-0.8255553811202425,-45.37262338867177,0.8255553811202425,45.37262338867177,0.03160792527766032,21.174444618879757,725594123.0,57.54716981132076
IV:LMZ,2,9.694169717872175,0.03249255697242132,3.0739246864233074,-29.323942955432354,-3.0739246864233074,29.323942955432354,0.014490244060799351,19.073924686423307,725594120.0,59.19811320754717
