Level,Model,Information,Alpha,DF,LR,AIC,BIC,%C(Data)
4,IV:BKNPZ,0.1490126665396089,1.0,725594367.0,87.47407541093273,-422.52592458906724,-1455.2079556732165,62.97169811320762
4,IV:BKNPZ,0.1490126665396089,1.0,725594367.0,87.47407541093273,-422.52592458906724,-1455.2079556732165,62.97169811320762
4,IV:EdBNPZ,0.11584610708882678,1.0,725594303.0,68.00449480485902,-313.995505195141,-1087.494595144445,60.84905660377362
4,IV:EdBNPZ,0.11584610708882678,1.0,725594303.0,68.00449480485902,-313.995505195141,-1087.494595144445,60.84905660377362
4,IV:EdBNPZ,0.11584610708882678,1.0,725594303.0,68.00449480485902,-313.995505195141,-1087.494595144445,60.84905660377362
4,IV:BHNPZ,0.1166080966566592,1.0,725594303.0,68.45180129541967,-313.54819870458033,-1087.0472886538842,61.792452830188736
4,IV:BHNPZ,0.1166080966566592,1.0,725594303.0,68.45180129541967,-313.54819870458033,-1087.0472886538842,61.792452830188736
4,IV:BHNPZ,0.1166080966566592,1.0,725594303.0,68.45180129541967,-313.54819870458033,-1087.0472886538842,61.792452830188736
4,IV:BENPZ,0.11867180903554558,1.0,725594303.0,69.663250875172,-312.336749124828,-1085.8358390741319,60.3773584905661
4,IV:BENPZ,0.11867180903554558,1.0,725594303.0,69.663250875172,-312.336749124828,-1085.8358390741319,60.3773584905661
4,IV:BENPZ,0.11867180903554558,1.0,725594303.0,69.663250875172,-312.336749124828,-1085.8358390741319,60.3773584905661
4,IV:ABNPZ,0.12312436049436981,1.0,725594303.0,72.2770073505433,-309.7229926494567,-1083.2220825987606,61.08490566037741
4,IV:ABNPZ,0.12312436049436981,1.0,725594303.0,72.2770073505433,-309.7229926494567,-1083.2220825987606,61.08490566037741
4,IV:ABNPZ,0.12312436049436981,1.0,725594303.0,72.2770073505433,-309.7229926494567,-1083.2220825987606,61.08490566037741
4,IV:BGNPZ,0.12641994965950096,1.0,725594303.0,74.21159869669245,-307.7884013033075,-1081.2874912526115,61.79245283018875
4,IV:BGNPZ,0.12641994965950096,1.0,725594303.0,74.21159869669245,-307.7884013033075,-1081.2874912526115,61.79245283018875
4,IV:BGNPZ,0.12641994965950096,1.0,725594303.0,74.21159869669245,-307.7884013033075,-1081.2874912526115,61.79245283018875
4,IV:BMNPZ,0.12898808569495698,1.0,725594303.0,75.71915728515178,-306.28084271484823,-1079.779932664152,62.02830188679251
4,IV:BMNPZ,0.12898808569495698,1.0,725594303.0,75.71915728515178,-306.28084271484823,-1079.779932664152,62.02830188679251
4,IV:BMNPZ,0.12898808569495698,1.0,725594303.0,75.71915728515178,-306.28084271484823,-1079.779932664152,62.02830188679251
4,IV:BDNPZ,0.13428162203299335,1.0,725594303.0,78.82659242859862,-303.1734075714014,-1076.6724975207053,62.50000000000008
4,IV:BDNPZ,0.13428162203299335,1.0,725594303.0,78.82659242859862,-303.1734075714014,-1076.6724975207053,62.50000000000008
4,IV:BDNPZ,0.13428162203299335,1.0,725594303.0,78.82659242859862,-303.1734075714014,-1076.6724975207053,62.50000000000008
